LEC1	133.12	1	147	630
LEC2	133.23	2	124	1330
LEC3	155.23	3	123	620
LEC4	172.67	3	34	1390
LEC5	146.98	3	61	520
LEC6	112.56	3	88	500
LEC7	80.987	4	89	1360
LEC8	74.345	4	96	1660
LEC9	90.56	1	94	1700
LEC10	182	3	36	710
LEC11	113	2	33	1650
LEC12	174.9	2	117	1070
LEC13	112	3	50	1660
LEC14	93.078	3	114	1000
LEC15	118	3	139	760
LEC16	91.098	1	49	870
LEC17	106.97	1	40	1220
LEC18	110.34	4	129	1430
LEC19	73.056	4	41	1690
LEC20	159.9	3	130	830
LEC21	192	3	57	1210
LEC22	81	4	39	810
LEC23	160	3	98	1420
LEC24	157.09	4	106	700
LEC25	74	4	90	1740
LEC26	88.076	3	62	810
LEC27	199	3	32	1230
LEC28	164	1	144	1110
LEC29	111	2	130	1650
LEC30	129	3	43	710
LEC31	106	4	70	1440
LEC32	122	2	65	1360
LEC33	75.098	4	32	560
LEC34	72.076	4	104	590
LEC35	126.76	3	34	1720
LEC36	128.74	3	95	1670
LEC37	87.054	4	69	1400
LEC38	151	1	78	620
LEC39	195	2	78	820
LEC40	177.87	1	149	750
