LAB1	121	4	78	71	56   
LAB2	135.67	4	82	50	40
LAB3	126	2	90	96	41   
LAB4	110.121	5	82	78	50
LAB5	140	4	100	85	57   
LAB6	110	4	85	91	57   
LAB7	143	4	83	71	47   
LAB8	113	4	78	92	45   
LAB9	147.212	2	95	62	64
LAB10	131.34	5	69	51	36
LAB11	125.89	2	64	57	46
LAB12	139	5	80	70	40   
LAB13	137	5	83	74	36   
LAB14	109.87	5	77	73	38
LAB15	134	2	72	77	53   
LAB16	128	5	60	80	36   
LAB17	120	4	65	97	35   
LAB18	149.97	3	93	86	60
LAB19	109	4	90	82	57   
LAB20	136.32	3	78	64	37
LAB21	144	4	76	96	41   
LAB22	149	4	60	87	50   
LAB23	120.76	5	83	83	59
LAB24	147.67	3	52	53	33
LAB25	128.45	4	69	53	45
