LAB1	121	4	78	710
LAB2	135.67	4	82	500
LAB3	126	2	90	960
LAB4	110.121	5	82	780
LAB5	140	4	100	850
LAB6	110	4	85	910
LAB7	143	4	83	710
LAB8	113	4	78	920
LAB9	147.212	2	95	620
LAB10	131.34	5	69	510
LAB11	125.89	2	64	570
LAB12	139	5	80	700
LAB13	137	5	83	740
LAB14	109.87	5	77	730
LAB15	134	2	72	770
LAB16	128	5	60	800
LAB17	120	4	65	970
LAB18	149.97	3	93	860
LAB19	109	4	90	820
LAB20	136.32	3	78	640
LAB21	144	4	76	960
LAB22	149	4	60	870
LAB23	120.76	5	83	830
LAB24	147.67	3	52	530
LAB25	128.45	4	69	530
